OBJECTID	PDIV_ID	Af_used_2017	Af_used_irr_2017	Acres_2017	Af_used_mun_2017	Af_used_stk_2017	long_nad83	lat_nad83	county
9754	448	0	0	0	0	0	-101.3114862	38.50606925	WH
9755	65935	0	0	0	0	0	-96.53898034	38.37678416	CS
9756	65257	5.247797306	0	0	0	0	-100.019637	39.89640519	NT
9757	65969	35.83018005	35.83018005	94	0	0	-95.99644962	39.13583975	SN
9758	41625	163	163	130	0	0	-99.00950062	37.70433723	PR
9759	25890	0	0	0	0	0	-95.44220562	39.64551108	AT
9760	3017	5.650834277	0	0	5.650834277	0	-100.482594	38.96860428	GO
9761	47650	50	50	80	0	0	-97.30180244	37.54249785	SG
9762	5860	228.9942336	228.9942336	294	0	0	-101.5013847	37.14444485	SV
9763	72679	3.099238609	0	0	0	0	-101.0201568	37.9085234	FI
9764	20632	48.59276172	0	0	48.59276172	0	-101.3678601	39.7930569	RA
9765	21719	89.58333333	0	0	0	0	-97.89847121	38.03507438	RN
9766	2336	261	261	360	0	0	-100.5610509	37.46753368	ME
9767	76405	0	0	0	0	0	-98.16032883	37.9990629	RN
9768	19747	0	0	0	0	0	-99.39259039	37.94527964	ED
9769	30523	63	63	120	0	0	-101.7530905	37.44858454	ST
9770	5498	126	126	238	0	0	-101.4339714	39.73835644	CN
9771	19300	10.34000203	10.34000203	69	0	0	-101.6856153	38.79097529	WA
9772	34534	0	0	0	0	0	-98.844986	38.39890038	BT
9773	26235	0	0	0	0	0	-100.8753319	37.74030186	FI
9774	68896	132	132	90	0	0	-101.2023335	38.48909022	WH
9775	20654	244	244	249	0	0	-100.2334244	39.51622333	SD
9776	8703	5.638466661	0	0	0	0	-97.9458801	38.09419101	RN
9777	35912	50.36565792	50.36565792	130	0	0	-98.84399746	37.99614798	SF
9778	2523	0	0	0	0	0	-100.9576141	37.7476917	FI
9779	32771	102	102	225	0	0	-101.1006312	38.54950871	SC
9780	41717	70	70	100	0	0	-97.65553722	37.82394032	SG
9781	2302	0	0	0	0	0	-101.4856099	37.41058809	GT
9782	34271	187	187	482	0	0	-100.752871	37.77267781	FI
9783	17876	38	38	62	0	0	-100.3920896	37.93913659	GY
9784	11925	0	0	0	0	0	-101.8965179	37.6064983	ST
9785	68016	145	145	125	0	0	-100.751302	38.13762118	FI
9786	17458	155	155	225	0	0	-99.89334995	37.13176757	CA
9787	32175	6.527523316	0	0	6.527523316	0	-99.95924135	38.65580413	NS
9788	27786	323.3287607	323.3287607	248	0	0	-100.3613903	37.43176935	ME
9789	48595	174.3465572	174.3465572	110	0	0	-101.8898627	38.68992209	GL
9790	51724	72	72	80	0	0	-100.9410293	39.23753585	TH
9791	66785	15.24715284	0	0	0	15.24715284	-99.85073848	37.1308776	CA
9792	16689	117	117	229	0	0	-101.3245097	39.52598989	TH
9793	33567	45	45	117	0	0	-99.92077929	38.79834232	TR
9794	17890	0	0	0	0	0	-99.49027708	39.08214078	EL
9795	5962	0	0	0	0	0	-101.8719141	37.23895271	MT
9796	54873	0	0	0	0	0	-101.906463	38.69804184	WA
9797	73458	0	0	0	0	0	-99.5924373	39.20520329	RO
9798	11040	176	176	130	0	0	-101.3440775	37.3157635	SV
9799	70108	0	0	0	0	0	-99.70008237	39.92998739	NT
9800	40022	0	0	0	0	0	-100.8307801	38.64504999	SC
9801	68817	321	321	240	0	0	-100.6113725	37.47319382	ME
9802	45706	0	0	0	0	0	-101.1306722	37.80468691	KE
9803	39860	112	112	130	0	0	-97.56925006	38.03961111	HV
9804	71738	111.7713311	111.7713311	244	0	0	-101.5109226	38.50998648	WH
9805	27327	0	0	0	0	0	-101.3035757	38.92114516	LG
9806	2269	145	145	365	0	0	-101.7915321	39.267681	SH
9807	13553	0	0	0	0	0	-100.7139217	38.08226616	FI
9808	73593	230	230	134	0	0	-101.2185279	37.89087989	KE
9809	53090	160.6666667	160.6666667	120	0	0	-98.99501718	37.52446361	PR
9810	67080	0	0	0	0	0	-95.68000828	39.07007924	SN
9811	27699	248	248	240	0	0	-101.4719565	37.5592998	GT
9812	14247	168	168	220	0	0	-100.9381095	38.00129144	FI
9813	63733	246.631129	246.631129	124	0	0	-100.4786202	37.80238628	GY
9814	6636	101	101	125	0	0	-97.36500342	37.49520877	SG
9815	60268	87.16666667	87.16666667	130	0	0	-98.98536979	37.49787996	PR
9816	37256	51	51	122	0	0	-101.0068106	39.21944596	TH
9817	18464	190	190	242	0	0	-101.6317776	39.56814656	SH
9818	9731	256	256	258	0	0	-98.71623271	37.75594114	PR
9819	35792	40	40	110	0	0	-100.8781919	37.6711541	HS
9820	28959	0	0	0	0	0	-99.64205174	37.28827452	CA
9821	67542	0	0	0	0	0	-101.5983949	37.44703078	ST
9822	46634	0	0	0	0	0	-101.6561983	39.30421107	SH
9823	48348	0	0	0	0	0	-95.11919796	38.95797342	DG
9824	51667	36	36	31	0	0	-100.8754165	38.57012538	SC
9825	44161	74	74	52	0	0	-99.807013	38.17879734	HG
9826	1120	100	100	200	0	0	-101.3835404	39.78578675	RA
9827	74320	1.644309823	1.644309823	10	0	0	-99.20956079	39.59428014	PL
9828	33091	0	0	0	0	0	-101.5357683	37.6575083	ST
9829	17534	51	51	124	0	0	-100.5067098	39.43355444	SD
9830	34244	30	30	65	0	0	-100.4578787	39.42756435	SD
9831	48131	0	0	0	0	0	-98.88102085	37.76611877	PR
9832	76391	0	0	0	0	0	-95.68323369	39.97393173	BR
9833	31401	246	246	122	0	0	-101.8583349	39.59509478	CN
9834	18091	220	220	123	0	0	-100.9801639	38.10023657	FI
9835	5319	80	80	120	0	0	-99.39760983	39.40504573	RO
9836	12982	0.90225287	0	0	0.90225287	0	-100.7628699	37.14591144	SW
9837	38582	86	86	150	0	0	-102.0137202	39.53157495	SH
9838	32026	115	115	125	0	0	-100.4245872	37.47141174	ME
9839	67167	0	0	0	0	0	-97.05880194	39.69632469	WS
