AGRI,Crop,ET,GMD,GW,P,SW,URBAN,YEAR
0.5237925,1.0,168.6,4,7.1972785,382.358,7.218252e-06,0.07662605,2003
0.5739781,1.0,164.3,4,7.79256,327.686,0.0,0.05571573,2004
0.74270976,1.0,251.0,4,127.477165,392.648,4.92354e-05,0.08972917,2004
0.5332064,1.0,141.0,4,0.0,381.457,0.0,0.08431206,2003
0.83722144,1.0,263.5,4,63.816944,373.93802,0.00049108284,0.11435584,2004
0.6791328,1.0,197.7,4,11.564229,423.881,7.0570546e-05,0.09528088,2004
0.537274,1.15,165.4,4,55.443832,399.291,3.9031466e-08,0.031697445,2003
0.60376406,1.15,85.8,4,0.0,215.899,0.0,0.10191147,2002
0.45522225,1.0,182.2,4,0.0,439.083,0.0,0.06720661,2004
0.61954504,1.2,212.0,4,109.20177,274.348,0.0,0.014603984,2003
0.5549794,1.2,154.5,4,151.93555,175.338,0.0,0.04611733,2002
0.48243394,1.0,123.1,4,37.465527,262.047,4.7427297e-06,0.07562403,2002
0.38078478,1.15,176.5,4,0.0,361.954,0.1830743,0.03597379,2003
0.6489673,1.0,93.4,4,45.028606,142.301,0.0,0.00922637,2002
0.40083456,1.15,156.3,4,19.08684,283.174,0.0,0.022568025,2003
0.76506907,1.2,175.2,4,18.445301,275.244,0.0015286306,0.046868514,2003
0.5492776,1.15,165.6,4,45.244625,387.7,0.0,0.025788704,2003
0.7087041,1.0,169.0,4,51.678726,272.94,0.0008153267,0.031337507,2003
0.7547245,1.0,189.9,4,31.794073,341.412,9.718466e-05,0.11994343,2003
0.7087041,1.0,182.5,4,52.375233,396.755,0.0008153267,0.031337507,2004
0.7688201,1.15,282.0,4,76.0671,334.959,0.0006899457,0.12845044,2003
0.6025204,1.15,98.3,4,60.44915,163.086,0.0,0.017740197,2002
0.4249422,1.0,174.3,4,0.0,424.522,0.0,0.04418033,2004
