ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
260.7,0.0,0.17152022,-13.387167,0.0,0.4068962,433.85,0.437289,260.7,-12.861089,2012
285.0,0.0,0.21076573,-13.387167,0.0,0.4266624,433.95,0.45989537,285.0,-12.861089,2012
268.3,3.0,0.24736746,-13.387167,0.0,0.45767358,435.72998,0.47569183,0.0,-12.861089,2012
297.4,3.0,0.27174798,-13.387167,0.0,0.49389723,400.01,0.48514125,0.0,-12.861089,2012
217.2,3.0,0.27728486,-13.387167,0.0,0.5275249,390.72998,0.48926026,0.0,-12.861089,2012
251.4,3.0,0.26235396,-13.387167,0.0,0.55293936,380.38,0.4894106,0.0,-12.861089,2012
222.8,0.0,0.23032147,-13.776094,0.0,0.56926256,367.06,0.4870241,222.8,-12.861089,2012
233.1,0.0,0.18785639,-13.776094,0.0,0.5801338,357.55,0.4833176,233.1,-12.861089,2012
241.9,0.0,0.14254819,-13.776094,0.0,0.5910545,360.4,0.47906187,241.9,-12.861089,2012
334.8,0.0,0.10102421,-13.776094,33.685238,0.60622716,363.54,0.47444984,334.8,-12.861089,2012
276.3,0.0,0.06786093,-13.776094,0.0,0.62677467,391.52,0.46908647,276.3,-12.861089,2012
297.2,0.0,0.045417268,-13.776094,0.0,0.6509291,398.62,0.46209225,297.2,-12.861089,2012
319.9,0.0,0.034217983,-13.776094,0.0,0.67543983,419.85,0.45229316,319.9,-12.861089,2012
248.1,0.0,0.0334441,-13.776094,0.0,0.6969591,467.63,0.43845788,248.1,-12.861089,2012
313.7,0.0,0.041214027,-13.776094,0.87973607,0.71274745,489.84,0.4195463,313.7,-12.861089,2012
319.3,0.0,0.054634638,-13.776094,0.0,0.7206795,525.92,0.39492774,319.3,-12.861089,2012
319.2,0.0,0.06990915,-13.776094,0.0,0.71903074,533.57,0.36456293,319.2,-12.861089,2012
362.3,0.0,0.08280906,-13.776094,0.0,0.70615596,534.83997,0.32905227,362.3,-12.861089,2012
311.4,0.0,0.089754775,-13.776094,0.0,0.68033016,573.33,0.2896312,311.4,-12.861089,2012
295.1,0.0,0.08899582,-13.776094,0.0,0.6399194,594.82,0.24799748,295.1,-12.861089,2012
432.7,0.0,0.08119455,-13.776094,0.0,0.5841876,635.61,0.2061995,432.7,-12.861089,2012
397.5,0.0,0.069023594,-13.776094,0.0,0.5144756,639.6,0.1661577,397.5,-12.861089,2012
236.2,0.0,0.029574959,-12.891837,44.051296,0.38490608,310.27,0.0011264815,236.2,-12.861089,2012
228.4,0.0,0.034651108,-12.891837,20.014397,0.38877708,313.3,0.0020206044,228.4,-12.861089,2012
224.1,0.0,0.03664449,-12.891837,0.0,0.38431242,320.07,0.003503491,224.1,-12.861089,2012
340.3,0.0,0.0351005,-12.891837,26.440588,0.37570783,331.91,0.0059614703,340.3,-12.861089,2012
219.5,0.0,0.031037387,-12.891837,21.763123,0.36691925,347.39,0.009714905,219.5,-12.861089,2012
246.7,0.0,0.026748223,-12.891837,27.716015,0.36048362,376.43,0.015336694,246.7,-12.861089,2012
239.1,0.0,0.025157101,-12.891837,15.259062,0.35730845,407.77002,0.023465505,239.1,-12.861089,2012
250.5,0.0,0.028970711,-12.891837,0.0,0.35728496,400.29,0.03481157,250.5,-12.861089,2012
283.2,0.0,0.039868552,-12.891837,0.0,0.3601872,394.93,0.050095595,283.2,-12.861089,2012
260.9,0.0,0.0578279,-13.387167,0.0,0.36614075,417.84,0.06995889,260.9,-12.861089,2012
253.9,0.0,0.08075157,-13.387167,21.488897,0.3754531,382.94,0.09493851,253.9,-12.861089,2012
244.9,0.0,0.10465155,-13.387167,2.7716014,0.38799903,376.04,0.12509742,244.9,-12.861089,2012
305.1,0.0,0.12472067,-13.387167,0.0,0.40272197,370.0,0.16023389,305.1,-12.861089,2012
