AGRI_KS,ET_KS,GRACE_Trend_KS,P_KS,SW_KS,URBAN_FLT_KS
0.6481004,1754.0,-461.4865,317.35,0.107769005,0.13353209
0.36048362,1800.0,-278.27295,428.02,0.015336694,0.026748223
0.6709818,707.0,-279.8621,232.53,1.8453413e-05,0.0981583
0.72372526,2282.0,-311.00467,531.9,0.3144923,0.29287803
0.029841822,2944.0,-657.8845,337.7,0.1340664,0.00032417223
0.72727567,3370.0,-121.88341,603.76,0.5704837,0.12049838
0.677204,2561.0,-297.68997,252.13,2.9822088e-05,0.122518554
0.41252363,1341.0,-281.87766,569.25,0.14802012,0.07361921
0.6905666,2020.0,-250.47935,418.69,0.030457044,0.09515479
0.77001595,2281.0,-136.57623,408.78,0.0,0.08330318
0.34830782,2020.0,-353.30487,402.34,0.02817582,0.04608008
0.3558228,3465.0,-351.68716,703.36,0.9010756,0.36530977
0.34407243,3179.0,-387.64514,730.557,0.3260524,0.17785765
0.62009966,2124.0,-270.61285,683.64,0.3675859,0.060304362
0.5680975,3765.0,-387.12906,690.599,0.12577298,0.12187215
0.61123985,2227.0,-327.63904,415.55,0.3556236,0.115236886
0.30117062,2405.0,-156.36523,498.75,0.08810257,0.18621005
0.4242715,2137.0,-273.48917,165.53,0.0,0.047916744
0.45325446,2096.0,-213.48747,524.26,0.27525362,0.105340004
0.6110531,2844.0,-197.0005,527.27,0.18428363,0.07401457
0.34978187,3137.0,-201.52792,436.01,0.21566409,0.10445674
0.36801445,1732.0,-138.59648,453.33002,0.0,0.18386102
0.6399969,1661.0,-285.53815,413.25,0.28736627,0.43954965
0.5751362,2779.0,-374.48132,463.813,0.0,0.12795146
0.4904296,3769.0,-196.78854,528.03,0.006836132,0.17736626
0.5859035,1111.0,-440.299,264.74,0.085695475,0.26070812
0.8886964,2182.0,-347.7622,358.48,0.05570452,0.11468343
0.23028183,2456.0,-309.92313,400.72,0.007973835,0.03193202
0.8637794,4185.0,-121.88341,575.03,0.5541943,0.23569784
0.45797965,1733.0,-227.80148,369.52,0.0055200458,0.08211381
0.5064392,846.0,-453.73685,212.16,0.3679461,0.19001979
0.05232827,4142.0,-115.060875,674.14,0.1659669,0.0005809103
0.48614824,1574.0,-314.0467,423.87,0.19835305,0.01422746
0.35056612,2773.0,-351.66302,481.54,0.3419269,0.08069486
0.9055283,2144.0,-294.64017,210.0,0.046188947,0.10161415
0.63401705,3631.0,-353.69125,591.87,0.2848271,0.43525067
0.80500066,991.0,-296.68475,203.22,0.04568787,0.037946638
0.30338874,2828.0,-160.42273,475.49,0.22180533,0.08355864
0.6168988,2045.0,-99.59993,329.91,0.37960893,0.090417735
0.6694447,1026.0,-340.2625,142.69,9.515959e-06,0.14695835
0.8104192,3417.0,-327.63904,458.24,0.07858428,0.09104207
0.7117516,1393.0,-300.14246,372.02,6.9719885e-05,0.02121319
0.44016346,2973.0,-335.25708,461.77002,0.23455529,0.21924078
0.7417595,2727.0,-642.6691,326.16,0.15830715,0.09648936
0.3594846,2026.0,-319.84076,406.91,0.2710817,0.11806194
0.6074511,1265.0,-267.43295,281.04,0.3086418,0.1375447
0.49645105,745.0,-426.6893,169.46,0.09448868,0.17851861
0.58008665,2235.0,-122.82578,333.73,0.00019686884,0.038486306
0.50554043,2382.0,-353.69125,555.66,0.34383744,0.28485158
0.6225727,2866.0,-299.7838,441.32,0.3066564,0.15422359
0.1321854,2760.0,-128.15285,581.22003,0.0011974623,0.053907968
0.11899096,4536.0,-129.42975,538.53,0.17986867,0.23159254
0.43293655,2695.0,-310.64453,504.86,0.17474018,0.060608927
0.6120234,3639.0,-122.063446,674.29,0.10206006,0.023824664
0.36033982,2224.0,-319.84076,446.78,0.254561,0.10206815
0.7113849,2409.0,-320.67572,660.32996,0.18160881,0.18795273
