ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
151.4,0.0,0.1952963,1.0,6.0209746,0.4317301,265.7,0.38671738,151.4,1.0,2012
149.7,0.0,0.2274412,1.0,0.0,0.47497907,265.09,0.40544492,149.7,1.0,2012
147.8,0.0,0.24751578,1.0,0.0,0.5219959,235.51,0.41669914,147.8,1.0,2012
160.3,0.0,0.2502992,1.0,5.034039,0.5637553,225.23999,0.42084065,160.3,1.0,2012
124.6,0.0,0.23517919,1.0,9.899114,0.5934526,206.8,0.41889194,124.6,1.0,2012
199.0,0.0,0.20566484,1.0,0.0,0.60938895,201.6,0.41231263,199.0,1.0,2012
134.2,0.0,0.16764355,1.0,0.0,0.61494154,201.46,0.40269625,134.2,1.0,2012
169.1,0.0,0.12743115,1.0,0.0,0.6158466,198.25,0.39146176,169.1,1.0,2012
163.6,0.0,0.090417735,1.0,0.0,0.6168988,188.49,0.37960893,163.6,1.0,2012
121.2,0.0,0.060304362,1.0,0.33366558,0.62009966,185.73999,0.3675859,121.2,1.0,2012
128.7,0.0,0.039022643,1.0,0.0,0.6248773,194.2,0.35528615,128.7,1.0,2012
208.6,0.0,0.027014708,1.0,0.0,0.62940305,203.18999,0.34215972,208.6,1.0,2012
170.9,0.0,0.023678618,1.0,0.0,0.6315975,233.27,0.32740483,170.9,1.0,2012
148.5,0.0,0.027697682,1.0,0.0,0.6291743,258.31,0.310196,148.5,1.0,2012
181.8,0.0,0.037094083,1.0,0.0,0.6192794,304.48,0.28990418,181.8,1.0,2012
214.4,0.0,0.049170833,1.0,0.0,0.5987626,321.37,0.26627925,214.4,1.0,2012
192.9,0.0,0.06058191,1.0,0.0,0.5651725,331.98,0.23953919,192.9,1.0,2012
183.6,0.0,0.068013735,1.0,0.0,0.51795846,345.97,0.2103863,183.6,1.0,2012
227.7,0.0,0.06920562,1.0,0.0,0.45893455,356.47,0.17990087,227.7,1.0,2012
117.0,0.0,0.013847548,1.0,5.046428,0.24410912,195.75,0.008364154,117.0,1.0,2012
122.1,0.0,0.016339872,1.0,0.0,0.2538401,201.17,0.013154066,122.1,1.0,2012
105.0,0.0,0.023253344,1.0,0.0,0.26394483,216.86,0.020074379,105.0,1.0,2012
138.2,0.0,0.035734117,1.0,0.0,0.27373704,242.17,0.02973993,138.2,1.0,2012
122.4,0.0,0.053589355,1.0,0.0,0.28325936,250.22,0.042789012,122.4,1.0,2012
151.4,0.0,0.074869394,1.0,0.0,0.29346985,256.89,0.059883356,151.4,1.0,2012
115.1,0.0,0.09599746,1.0,0.0,0.30566514,269.72,0.08142376,115.1,1.0,2012
116.6,3.0,0.112796284,1.0,7.7527204,0.32060224,278.13998,0.1077004,0.0,1.0,2012
124.8,0.0,0.12198921,1.0,0.0,0.33775914,246.62,0.13866176,124.8,1.0,2012
140.3,0.0,0.12261542,1.0,0.0,0.35517728,250.03,0.17386818,140.3,1.0,2012
184.2,0.0,0.116787106,1.0,3.972053,0.36998525,254.19,0.21245132,184.2,1.0,2012
137.0,0.0,0.1093512,1.0,0.47496614,0.3797156,233.78,0.25318563,137.0,1.0,2012
150.9,0.0,0.1066675,1.0,0.0,0.38391808,239.68001,0.29435363,150.9,1.0,2012
132.8,0.0,0.114597805,1.0,0.0,0.3853696,265.21,0.33411872,132.8,1.0,2012
150.3,0.0,0.13623697,1.0,0.19980192,0.38983068,273.26,0.3705708,150.3,1.0,2012
154.1,0.0,0.1701608,1.0,20.608667,0.40367675,265.14,0.401981,154.1,1.0,2012
133.0,0.0,0.21012893,1.0,44.200783,0.4305766,267.71,0.4270306,133.0,1.0,2012
127.3,0.0,0.24674852,1.0,11.576955,0.4689508,272.0,0.44500014,127.3,1.0,2012
109.3,0.0,0.27550548,1.0,20.893257,0.55150944,230.12,0.46030453,109.3,1.0,2012
173.7,0.0,0.26021683,1.0,40.800335,0.5804854,212.07,0.4594934,173.7,1.0,2012
136.6,0.0,0.22830112,1.0,40.668785,0.5975684,204.44,0.4549076,136.6,1.0,2012
131.7,3.0,0.18631297,1.0,9.906416,0.6061789,199.92,0.44799465,0.0,1.0,2012
152.3,0.0,0.1415496,1.0,12.243911,0.61199725,195.87,0.43990016,152.3,1.0,2012
161.3,0.0,0.10034018,1.0,13.689198,0.6196968,187.0,0.43127036,161.3,1.0,2012
172.7,0.0,0.067052335,1.0,0.0,0.631064,187.83,0.42217338,172.7,1.0,2012
179.5,0.0,0.04394556,1.0,0.0,0.64513266,195.39,0.4121451,179.5,1.0,2012
190.7,0.0,0.031519525,1.0,0.0,0.6594829,207.26,0.40033853,190.7,1.0,2012
129.6,0.0,0.02902589,1.0,0.0,0.6713922,244.95,0.38573974,129.6,1.0,2012
176.3,0.0,0.034815855,1.0,0.0,0.67819965,267.76,0.36740983,176.3,1.0,2012
