OBJECTID	PDIV_ID	Af_used_2012	Af_used_irr_2012	Acres_2012	Af_used_mun_2012	Af_used_stk_2012	long_nad83	lat_nad83	county						
151	32084	274	274	244	0	0	-101.582414	37.27995844	MT						
152	12390	0	0	0	0	0	-101.6211517	38.66834003	GL						
153	26897	0	0	0	0	0	-100.9988212	38.46397411	SC						
154	33656	0	0	0	0	0	-101.2839104	37.37712945	SV						
155	30114	0	0	0	0	0	-100.9576331	38.54743934	SC						
156	5163	43.18231339	0	0	43.18231339	0	-98.40125934	39.00959959	LC						
157	28647	570	570	244	0	0	-101.4196557	37.19169469	SV						
158	51940	0	0	0	0	0	-97.02652507	37.17180733	CL						
159	43891	217.3042894	217.3042894	120	0	0	-100.8921776	38.49771886	SC						
160	43338	607	607	375	0	0	-101.2444293	37.69288958	GT						
161	36310	319	319	280	0	0	-101.1865689	37.72188013	GT						
162	42910	0	0	0	0	0	-98.3533548	38.52091531	RC						
163	53488	0	0	0	0	0	-98.33166371	38.5293012	EW						
164	27707	0	0	0	0	0	-101.9907576	37.37896116	MT						
165	37025	0	0	0	0	0	-100.9149555	37.38141973	SW						
166	49719	0	0	0	0	0	-101.8585002	38.63230933	GL						
167	41756	0	0	0	0	0	-101.894361	38.78236713	WA						
168	52748	0	0	0	0	0	-101.9011556	38.7807762	WA						
169	41599	53.46124456	53.46124456	37	0	0	-101.4324827	38.61927531	WH						
170	34170	156.3696291	156.3696291	104	0	0	-101.4417467	38.63262772	WH						
171	21100	14	14	88	0	0	-101.5471315	37.37558218	SV						
172	43194	315.5890269	315.5890269	240	0	0	-101.5650888	37.28006656	MT						
173	30566	220.1666667	220.1666667	195	0	0	-100.1063456	37.60576148	FO						
174	8396	217.2397814	217.2397814	120	0	0	-101.7946352	38.73798422	WA						
175	4311	0	0	0	0	0	-101.195607	37.72219094	GT						
176	34556	0	0	0	0	0	-99.25332086	38.46528378	RH						
177	1331	0	0	0	0	0	-95.31054999	39.40318827	JF						
178	48922	102.5376629	102.5376629	100	0	0	-97.66976239	38.19328958	MP						
179	33267	0.68221365	0.68221365	1	0	0	-99.87479596	38.07295817	HG						
180	42615	22540.83318	0	0	22540.83318	0	-94.69021206	39.18123992	WY						
181	21975	0	0	0	0	0	-94.69444963	39.17878113	WY						
182	50722	0	0	0	0	0	-97.80759124	37.97428252	RN						
183	9081	173	173	320	0	0	-101.3451297	37.67346271	GT						
184	26884	421.8891457	0	0	0	0	-99.96030049	37.73006026	FO						
185	44458	0	0	0	0	0	-100.5689619	39.54429396	SD						
186	41846	38.89937425	0	0	38.89937425	0	-97.36474353	38.91557982	DK						
187	32729	95	95	40	0	0	-100.561494	38.51886814	LE						
188	11813	0	0	0	0	0	-98.41617363	37.25030231	BA						
189	38225	211.9097379	0	0	211.9097379	0	-97.6027924	38.8325527	SA						
190	10668	0	0	0	0	0	-95.60348742	38.43511917	OS						
191	37663	145.0079945	0	0	145.0079945	0	-96.43527069	39.75462	MS						
192	34230	54.05783625	0	0	0	54.05783625	-101.0722618	38.45839026	SC						
193	13402	160.0305047	0	0	160.0305047	0	-97.78463101	39.78701748	RP						
194	53323	0	0	0	0	0	-100.6893962	37.40177776	HS						
195	28374	22	22	36	0	0	-100.9250579	38.22524937	FI						
196	16525	226	226	126	0	0	-100.4745452	37.47834755	GY						
197	19389	0	0	0	0	0	-97.67585692	38.11213037	HV						
198	11445	0	0	0	0	0	-100.4473516	37.73364445	GY						
199	22997	0	0	0	0	0	-98.6607567	38.25729259	SF						
200	1143	0	0	0	0	0	-101.5421461	37.34067069	SV						
201	6986	70.93088559	0	0	70.93088559	0	-101.63087	37.11967615	MT						
202	33492	0	0	0	0	0	-99.25792449	38.16799773	PN						
203	9235	66	66	36	0	0	-101.0280645	39.81745154	RA						
204	38697	75.89849348	75.89849348	102	0	0	-100.8839893	38.60428178	SC						
205	38123	106.4461978	106.4461978	142	0	0	-100.8791301	38.61295359	SC						
206	13419	124	124	50	0	0	-100.4451944	38.53271616	LE						
207	25232	194	194	178	0	0	-100.5048628	38.54750512	LE						
208	14994	0	0	0	0	0	-101.7149102	37.60641603	ST						
209	23719	0	0	0	0	0	-101.5593215	38.69090233	WH						
210	30485	365.8451255	365.8451255	240	0	0	-99.75900533	37.1370675	CA						
211	50717	580	580	420	0	0	-100.7711053	37.28947059	SW						
212	39595	0	0	0	0	0	-96.40995294	39.71490232	MS						
213	29283	0	0	0	0	0	-101.6387093	37.68884621	ST						
214	18272	0.688437353	0	0	0	0	-97.9758744	38.02944787	RN						
215	22893	14.67235025	0	0	14.67235025	0	-94.77988001	37.41111121	CR						
216	52890	37	37	10	0	0	-101.0684105	38.33842051	SC						
217	48699	33	33	13	0	0	-101.070962	38.32286467	SC						
218	34670	0	0	0	0	0	-100.7882677	37.43049241	HS						
219	34458	142.5	142.5	120	0	0	-97.65844723	38.14853902	HV						
220	5026	0	0	0	0	0	-100.0421302	38.66813351	NS						
221	15994	488	488	260	0	0	-101.7138494	37.6416656	ST						
222	5992	10.40076599	10.40076599	76	0	0	-101.6867787	38.77875239	WA						
